	NG.16677_M53_iso_preg_placenta_lib271061_6029_8_1	NG.16677_M55_aly6g_preg_placenta_lib271064_6029_8_1	NG.16677_M56_aly6g_preg_placenta_lib280131_6085_1_1	NG.16677_M62_iso_preg_placenta_lib271062_6029_4_1	NG.16677_M63_aly6g_preg_placenta_lib280132_6085_1_1	NG.16677_M65_iso_preg_placenta_lib280130_6085_1_1
8503	313.809	354.055	541.354	414.067	560.082	487.062
8504	6057.999	11149.041	11214.079	10028.839	9044	10120.024
8505	793	1153.949	1483.943	1211.533	1353.83	1382
8506	594	880.001	967.881	829.365	1026.98	996.004
8507	258.126	325.248	470	412	355.999	452.462
8508	1562.874	787.753	1333	890	1861	1702.539
8509	790	574	957	794	1242	1169
8510	216.999	137	342	150	340	313
8511	444	208	655	451	889	549
8512	794.001	856	1060	852.002	1241.999	1192.999
8513	1249	1500	1583	1753	1975.001	2712
8514	99	129	144	107	162	140
8515	16	17	22	20	18	32
8516	263	265	306	268.001	424	337.001
8517	142.229	137.551	179.76	153.221	188.151	340.478
8518	533	507.001	674	576	750	1322.001
8519	2660.074	1581.178	3152.3	2503.175	4355.991	3794.995
8520	8	8	11	16	16	21
8521	1524	2044	2345.999	2272	1981	2756
8522	111	118	156	97	128	120
8523	283	99	430.009	425	615.004	480
8524	11.045	11.915	19.349	15.082	15.577	21.768
8525	575	708.943	897.001	638	877.999	911.942
8526	4130	3021	4211	2767	3057	5393
8527	95.094	161.547	165.512	196.402	177.625	166.433
8528	56	91	128	70	123	73
8529	627.001	1002	1094	1067	1058	1086.001
8530	99	65	103	97	160	139
8531	167	254.999	274	199	259.999	261
8532	785	442	868	389	819	702
8533	1444.313	1026.377	1888.242	1297.923	2241.587	1824.436
8534	46	80	110	51	64.999	58
8535	588.055	410.398	664.085	484.132	872.84	777.113
8536	1032.999	624.001	1300	985	1787	1562.001
8537	567.992	645.001	719.003	550	761	798
8538	2006.003	2135.108	2674.442	1998.938	3098.021	3138.097
8539	350	360	579	606	1406	898
8540	11855	4791	14304	9617	22914	13235
8541	43	35	78	45	93.999	77
8542	1182.001	1106	1881	1471.001	2200	1661
8543	0	0	0	0	0	0
8544	12.086	11	33.856	17	16	17.001
8545	511.168	642.185	789.195	691.253	762.127	988.242
8546	506	662.999	954	646	701.999	756
8547	50	66	70	122	55	133
8548	1	0	1	1	0.998	6
8549	67	55	52	62	16	158.731
8550	760	605.999	1072	911.999	1463	1279
8551	1.061	0	0	1	1	6.527
8552	321	450	473	429	485	553
8553	682.999	543	923	716.999	986.999	1111
8554	481	1294	491	1861	2291	1531
8555	2	1	7	0	0	0
8556	0	0	14	0	1	1
8557	88	140.999	275	165	151.001	196
8558	2	0	0	1	0	0
8559	124.928	130	159.049	127.061	124	193
8560	919.145	617.288	1067.095	819.996	1479.452	1370.782
8561	272	152	305	431	484	795
8562	501	217	628.001	841.001	884	711
8563	211.206	80.225	41.221	165.105	23.329	721.806
8564	200.063	194	270.744	199.013	307.351	344.017
8565	4	0	1.001	3	3	6
8566	805	971	1242	934	1177	1357
8567	697.44	776.479	1010.374	816.082	1102.523	1044.736
8568	675.351	1069.102	1117.082	898.865	950.362	1061.259
8569	1090.96	1065.001	1606	1357	1787.951	1696.918
8570	4	7	4	11	2	41
8571	581.001	555.999	664	615.002	817	883
8572	341.843	386.999	499.118	431.467	501.526	611.478
8573	1787	1755	2462	2067	3126	2899
8574	101.086	40.89	92.016	68	121.001	117.892
8575	0	0	3	1	0	0
8576	299.799	330.1	387.904	364.54	531.505	509.469
8577	636	673	767	731	894	1201.999
8578	320.001	428	589	408	577	553
8579	0	2	1	4	7	0
8580	13	14	22	22	31	16
8581	75.001	49.999	102	113.999	155.999	127
8582	728	833	965	845.001	999	1057.001
8583	10	5	10	9	30	21
8584	452	612	984	420	642	562
8585	1062.529	1082.322	1375.149	1086.457	1485.986	1507.388
8586	413.532	531.866	832.733	582.22	793.466	717.492
8587	1188	1681.027	1892.327	1455.289	1988.013	1882.878
8588	84.373	103.748	116	115.568	138.077	164.627
8589	1618.321	2542.94	2557.877	2305.674	2013.222	2625.034
8590	152	116	177.098	144.023	177	208.041
8591	15	8	8	9	1	14
8592	578	386	708	536	812	904.128
8593	1615	2481	2712	1836	2562	2445
8594	3197.108	2939.001	3937.224	2717.643	4253.04	4307.066
8595	1	1	39	0	0	3
8596	25.999	24	37	31	48.999	44.999
8597	266.071	267.157	401.73	260.516	442.911	394.142
8598	2695.999	2250	3724.001	2616.999	4076	3234
8599	0	1	2	2	5	0
8600	416	165	508	379	544	454.999
8601	107.156	56.308	69.702	173.689	42.069	280.861
8602	0	1	2	0	1	1
8603	1589.001	1560	2152.995	1549.021	2331	2471.999
8604	411	417	518	489	553.999	649.999
8605	9	11	16	13	15	11
8606	59	53	105	71	116	112
8607	39.717	25.252	33.995	30.081	25.482	63.377
8608	568	371	516	565	704	1044
8609	408	242	412	424	653	575
8610	556	647	768.999	676	825	911
8611	1052	606	676	909	68	3898
8612	4	3	3	0	3	4
8613	81	59.001	80.001	92	96	126
8614	1332	1098	1625	1473	2318	2534
8615	463.082	479.142	730.285	555.905	774.59	753.803
8616	838	850	1079	941	1129.001	1470.999
8617	708	485.066	818.96	623.001	1216	1030
8618	1096	920	1718	1019	1781	2046
8619	756	714	1051	713	1143	1078
8620	94	104	127	150	203	176
8621	0	0	0	0	0	0
8622	673	322	734	605	977	920
8623	26	19	35	31	45	41
8624	661.265	375	633.98	989.027	874.627	1723.53
8625	6700	1953	5578	5018.999	9353.001	7847.999
8626	29.558	9.836	22.928	34.483	35.865	23.698
8627	330.468	311.319	498.539	265.559	431.483	453.581
8628	1195.999	1726.999	2385	1491	2113	1736
8629	34	23	40	44	83	46
8630	598	295	643.005	493	620	1025
8631	356.001	238	517	309	481	422
8632	77	223.999	167	289.999	418	228.001
8633	444	147	411	446	662	950
8634	114	74	95	79	196	119
8635	3600	4231	6625	4769	6988	5501.001
8636	369	220	396	285	534	379
8637	5.035	5	11	15	3	25
8638	599.93	504.571	689.257	704.706	670.213	1549.093
8639	181	155	218	226	310	306
8640	1	1	2	2	1	2
8641	5	5	17	7	17	10
8642	764	494.001	1087	777	1674	1230
8643	1028.999	1459.999	1532.999	988.001	1400.001	1237
8644	51	27	32	25	24	52
8645	641	653	792.999	702.999	1113	1180.999
8646	58	59	122	44	65	73
8647	18	5	1	5	12	5
8648	419	367	546	423	772.001	512
8649	52	20	32	15	23	48
8650	777	805	1109	965.001	1347	1256
8651	289	474	421	433	357	597
8652	242.079	130.582	249.025	225.227	318.13	376.993
8653	3322.161	2659.097	4599.722	3567.987	5090.588	5006.211
8654	363	447	547	533	571	689
8655	1465	1144.001	1718.999	1657.001	1833	2939.001
8656	1569	2274	2365	2367	1945	3728
8657	4738.999	5331	5751.001	4874	6309	7422
8658	1073	1400	1899	1206	1726	1718
8659	9	15	7	9	4	22
8660	0	0	0	1	1	0
8661	0	0	0	0	1	3
8662	506.999	561	683	665	827	965
8663	574	413.001	747.999	552.726	810.001	774.998
8664	6827	9726	13642	8403.999	12793	13225
8665	1154	1414	2375	1374	1803	1711
8666	426.023	380.008	587.007	419.003	918.002	729.277
8667	2	4	7	0	2	5
8668	11	21	19	16	17	13
8669	317.804	456.927	523.909	546.096	401.435	759.879
8670	4780.711	3669.035	5818.688	4531.94	6836.528	7680
8671	81	41	66	114	125	213
8672	367.904	455.364	549.323	395	545	477.02
8673	502.001	641	861.999	551	785.999	827
8674	2	4	2	6	6	9
8675	16139.992	8655.984	8568.934	17051.986	790	65725.861
8676	63	77	35	146	3	289
8677	38758	23371	21930	40770	1505	153807
8678	175	276	336	230	342	281
8679	575.912	343.958	636.163	605.598	1049.555	934.897
8680	1	0	1	0	4	1
8681	98	50	163	88	253	103
8682	88	107.999	144	273	155	484
8683	1907.962	1854.007	3740	1980.6	3081.569	2470.002
8684	1	3	1	0	3	2
8685	1	3	3.121	1	6	1
8686	5400.043	5258.799	7613.629	5552.837	8076.439	8323.48
8687	2961.136	1956.479	3545.498	2615.404	4566.237	4085.112
8688	3	3	2	4	1	2
8689	0	0	0	0	1	0
8690	10	16	25	9	19	18
8691	137	149	221	143	218	222.988
8692	150	140	117	256	128	519
8693	0	0	0	0	0	0
8694	372	250	492	322.022	591.005	437
8695	0	0	0	0	0	0
8696	736.858	1064.909	1335.04	987.095	1346.008	1243.072
8697	43	78	112	122	137.025	138.972
8698	500.001	357	479.999	668	298	1622
8699	8483.012	2910.07	9157.089	5896.394	11887.162	9416.13
8700	8287	4105	10604.001	7353.001	11655	11291.012
8701	88	71.999	145	110	180	191
8702	331.339	324	491.87	403.001	613.062	500.052
8703	592	391.001	702.001	633.002	872	1131.999
8704	420.98	472.07	646.1	469.211	519.059	589.947
8705	43	20	38	47	89	61
8706	677.96	559.993	894.219	738	1077.325	947.141
8707	195	90	143	109	186	163
8708	1418.017	1946.434	2039.999	1795.005	2017.009	2127.008
8709	875.001	890	1109.001	980	1386.999	1564
8710	0	0	0	0	1	3
8711	10	4	8	16	24	15
8712	387.999	242	475	442.001	551	610
8713	593.366	904.318	1111.326	892.139	1065.445	1013.287
8714	17	14	29	32	13	46
8715	15	9	14	15	18	17
8716	605.562	480.622	757	509	1001.004	848
8717	188.797	181	226	180	281.001	195
8718	820.999	821.999	994	956	1460	1445.001
8719	11	11	2	19	1.141	25.001
8720	272.999	221	418.293	401	403	522
8721	4	0	4	3	2	1
8722	1197.562	1002.503	1816	1249.573	1778	1649.694
8723	195	312	408.001	266	389	295
8724	1736.437	1848.497	2573.999	1766.427	3031	2365.306
8725	11	20	26.021	19	31	16
8726	2058	1884.001	2543.951	1751	2999.006	2939.001
8727	0	0	0	0	0	0
8728	52	71	97	65	101	94
8729	2417.034	1059.999	2663.08	2120.308	4478.891	3284.997
8730	874.793	866.603	1070.156	1188.912	1418.938	2050.05
8731	763	785	1029	659.263	1230	914.001
8732	2928	2924	4129	3529	4599	4889
8733	470.312	380.265	679.932	351.238	584.516	498.483
8734	27	33	16	25	20	28
8735	54	43	53	96	16	309.001
8736	701	693	818	631	1021.999	996.999
8737	701	1033.364	1039	1008.492	1124.019	1072
8738	9181.212	6386.073	10443.812	8577.112	12020.911	16715.04
8739	852	557.002	1013.001	819.001	1320.001	1304.001
8740	151	228	184	383	263	426
8741	2156	1806	3005	1825	3242	2410
8742	40.039	31.541	11	18.123	41.942	50.144
8743	25.198	47.918	33	23.191	45.798	41.001
8744	78	33	102	112	92	83
8745	1567.268	1447.521	2199.054	1364.383	2548.452	2257.132
8746	18927.999	27923.001	30866	19214	24113	24961.001
8747	2925	2109	2969.999	2413.999	4021.001	3732.999
8748	247	283	348	296.001	389	430
8749	936.181	320.397	1105.001	452	947.999	974
8750	419.045	560	753	462.001	598.999	674.967
8751	128.751	43.407	135.448	72.408	163.659	160.514
8752	3912	2873	3928	3422	4757	7118
8753	1677	1430	1997.999	1840	2251	3870
8754	336	612.001	598.002	419.185	360.065	555.002
8755	897.001	1130.999	1168.999	902.999	836	1673
8756	65	100	120	97	118	148
8757	516	227	542	406	742	589.001
8758	498.087	317.587	600.344	537.17	810.935	809
8759	158.999	134	152.984	272.016	210.003	317.999
8760	0	1	1	0	0	0
8761	90	56	128	85	150.999	92
8762	2	1	1	1	1	0
8763	1491	882	1654	1082.999	1899	1722
8764	38	10	28	23	30	33
8765	237.288	297.073	395.541	259.054	381.16	268.884
8766	352.835	384.608	509.174	410	565.144	533.088
8767	5578	3050	6515	3704	5738	6289
8768	153.001	155	121	188	170	263
8769	0	0	1	0	0	0
8770	0	0	0	0	0	0
8771	27	32	52	54	79	62
8772	0	0	3	0	0	1
8773	75	47	26	84	30	240
8774	1091	1388	1674	1279	1618.999	1506
8775	1849	1415	2378.999	1931.001	4130	2515.001
8776	80	78	185	106	184	172
8777	180	218	319	188	292	292
8778	423	655.996	870	677	782	783.974
8779	113.006	12.659	120.563	62.03	244.004	162
8780	1238	817	1565	1126	1951	1845
8781	91	35	101	65	113	81
8782	4	2	0	0	1	0
8783	2573	1864	2892.003	2274.994	3413.962	4005
8784	13549.451	18902.421	23620.84	14208.028	24423.412	19462.764
8785	546.745	572.101	765.176	615.124	953.65	906.506
8786	2.827	0	0	1	4.004	0
8787	119.792	113.997	137.864	126.845	172.364	161.904
8788	821.001	991	1151	996	1071.999	1579
8789	1663.001	1410	1929.994	1476	2603.993	2083.999
8790	1507.496	2272.616	2545.164	2043.86	2251.583	2645.04
8791	0	1.096	1.055	0	0	0
8792	647.871	629.006	1122.986	780.357	1332.608	900.196
8793	230.999	276	261.001	299	209	482
8794	1896	1953	2757.999	2166	3142	2838
8795	95.704	92.427	134.804	114.638	139.785	176.719
8796	1038.576	1382.058	1469.512	1527.738	1460.058	2715.851
8797	4	0	1.022	0	0	2.06
8798	66.013	75	111	63	115.042	87
8799	1344	1389	1774.999	1469.999	2131.999	2067.999
8800	24.001	28	35.535	16	44	36
8801	1816.969	2315.194	2661.024	2531.861	2108.759	3611.619
8802	71	31	37.978	61	58	72.94
8803	1134	1421.999	1875.964	1165.999	1712.724	1494.999
8804	10	19	34.001	10	8	4
8805	1555.001	1228.001	2608	1705	2488	2183.001
8806	906	1211.001	1278	826.999	1372	874
8807	3426.847	3433.746	3845.161	5077.616	7085.565	8606.85
8808	1204.528	1138	1712	1518	1566.079	1970.985
8809	2510	1115	1677	1745.001	2916	2312
8810	3460.545	2075.009	4836.677	3573.631	5188.024	5878.026
8811	652.001	469.001	797	616.001	957	1048
8812	1110	2046	1972	1900	1726	1881
8813	1281.999	288	797	1461	1657	2646
8814	267	215.001	380.001	290	378	340.001
8815	60	43	50	223	38	254
8816	2088	1360.999	2898.001	2329	3393.001	3280
8817	12	13	3	43	56	32
8818	452.999	140	329.999	417.001	479	850
8819	187.004	193.003	288.001	221.466	272.001	322.001
8820	0	0	0	0	0	0
8821	18.253	25.645	29.016	28.207	22.561	24.004
8822	1	2.001	0	4.008	2.098	5.532
8823	122	165	175	186	147	254
8824	1360	976	1625	1485	2341	1616
8825	471	386	619	584	805	955
8826	1120	964.999	1426	1204	1574	1779
8827	2952	3152	4582	3087	3662	3993
8828	0	6	0	4.458	1.028	1
8829	37.482	20.924	39.885	16.551	48.089	53.856
8830	106	71	64	146	2	622
8831	202	171	316	227	316	313
8832	1150.001	1111.999	1180.001	1223	432	3193.001
8833	5	3	0	5	4	7
8834	41	12	58	36	92	63.999
8835	6319	7662.999	10467	6858.999	12748	9075.999
8836	10.6	3.001	10.104	7.005	14.795	15.085
8837	477.999	528.001	591.831	780.999	304.636	1573.88
8838	548	643	766	550	794	814
8839	64	62.999	29	137	14	272
8840	6	8	36	16	32	31
8841	1619	954.001	2602.999	2296	3738	3604.001
8842	341.53	213.656	451.3	257.82	473.842	446.339
8843	490.197	594.094	625.086	604.616	565.012	1055.241
8844	5	6	10	9	14	15
8845	1361	1230	1653	1005	1493	1327
8846	1034	1790	1740	1912.975	1556	2008
8847	2841	3447	4235.001	3563	4306	5106
8848	12794.665	13655.285	20240.486	12928.519	16503.012	16080.105
8849	348	242.011	370.968	322.001	575.836	475
8850	559.238	611.014	837.877	597.369	935.257	854.322
8851	130.363	148.311	152.637	193.378	204.088	320.522
8852	907	953	1346	1058	1446	1353
8853	213	215	274	237	287	437
8854	1134.993	906	1468.985	1157	1667.071	1606.999
8855	68	27	29	172	217	212
8856	402	393	554	375	513.242	616
8857	396	491	550.154	522	668	502
8858	221	288	355	247	340	368
8859	15386.843	22674.522	29344.956	22099.654	26986.268	26036.85
8860	138	118	159.999	250.999	270.001	253
8861	0	0	0	2	1	1
8862	1108	387	1011	611	859	1135
8863	53	39.571	72.168	66.182	88.371	88.838
8864	1063	908	1263	914	1448	1463.001
8865	1102.179	1174.032	1535.988	1150.794	1766.061	1966.06
8866	220	184.002	313.698	279	422	406.302
8867	631.79	301.889	729.682	463.715	883.472	769.694
8868	767.001	628.999	876.999	665	756.001	1032.076
8869	2341.21	1938.799	3144.265	3060.643	4022.686	3857
8870	768.001	616.128	1054.941	657.417	1317.285	1168.643
8871	41	32	65	57	97	44
8872	64	72	71	73	67	132
8873	2048.683	2156.4	2869.278	2240.807	3581.684	3319.41
8874	15.208	6.227	6.169	8.259	11.763	14.431
8875	780	302	878	489	1292.002	992
8876	1027.578	592.041	1013.829	771.019	1296.751	1351.254
8877	1992.882	1973.047	3162.631	2080.001	3488.507	2735.453
8878	136.193	143.001	167.001	145.999	173.001	205.998
8879	2664	2007	3814	2573	3734	3579
8880	1563	873	1592	1445	2194	2553
8881	936.002	1031.276	1363	1034.998	1510	1481.006
8882	627.103	630.167	987.221	815.033	1002.093	1001.131
8883	4728	3173	6167	4383	7343	6855
8884	1963.671	1281.575	2792.048	2601.598	4275.331	4308.671
8885	0	1	1	0	6	1
8886	36.008	99.033	60.083	87.399	164.003	70.265
8887	968	581.001	1013.001	1139	1304	1794.001
8888	0	0	0	0	0	0
8889	6	0	10.791	7	13	9.495
8890	477	525	276	626	30	1858
8891	91	138	159	115	160	135.001
8892	5551.999	6098.001	7741	5218.001	7799	7697
8893	349	588	669	550	576	711
8894	2735.809	1956.324	3504.557	2090.725	4169.756	3133.777
8895	449.935	493.975	720	379.973	550.059	554
8896	575.002	644.953	793.703	740.427	843.555	910.196
8897	268	298.969	363	302	404	358.999
8898	660	520	795	769.999	941	1664.001
8899	7	4	12	8	1	15
8900	768.943	1035.95	1204	1055	1251	1233.999
8901	236	232	336	319	404	520
8902	221.999	306	342.001	352.001	344.001	448.962
8903	3486.372	3068.572	4255.141	3209.242	5073.533	4823.81
8904	919.349	934.777	1267.889	869.505	1484.31	1310.781
8905	1376.892	1158	1636.999	1158	2109.999	2046.001
8906	187	166.23	271.054	200.038	348.119	218.101
8907	6	4	10	0	5	3
8908	1700.001	1092	1557	1800.001	2553	3391
8909	352	126	558	370	892	567
8910	63	45	51	38	37	51.001
8911	61	61	119	97	125	101
8912	1114	899.999	2062	1266.999	1681	1138.001
8913	0	0	1	0	2	1
8914	1	10	12	4	8	13
8915	18.019	22.019	49.539	32.732	38.144	31.081
8916	21.999	237.001	434.999	384.999	357	530.001
8917	2339.001	2913.999	3521	2153.999	3032.999	2931
8918	264.001	311	386.999	337.999	360	397.001
8919	3	6	4	1	7	7
8920	352	277	426	331	637	680
8921	5	1	2	0	4	2
8922	2	1	0	1	2	1
8923	3725.999	3355	5070.001	3374	5344	6025
8924	115	83.999	160	109.001	182	105.001
8925	869	1023	1266	965	1372.997	1146
8926	129	31	134	114.942	285.887	195.996
8927	919.621	769.999	1331.695	1002.999	1548	1407.053
8928	591.379	485	735	534	773	881
8929	18	4	15	6	14	18
8930	1183	777	1650.001	930.001	1988.999	1644
8931	0	1	1	1.768	5	4
8932	8728.908	15541.185	16405.562	15512.635	16388.38	15463.307
8933	415.999	388.001	598.999	478	595	615
8934	4	3	2	3	4	10
8935	1411.058	861.929	2005.271	1283.699	2349.986	1937.91
8936	135	194.001	241.999	203.999	193.001	209
8937	766	890	1053.999	1075	1102	1552
8938	9	2	0	3	5	4
8939	0	0	0	1	1	2
8940	2366	1721.956	2779.001	1878.999	3173.007	2961.103
8941	29	12	64	25	33	90.999
8942	389.94	393.999	574.072	439.311	639	635.001
8943	1154.994	857.915	1579.033	1028.825	1864	1793.577
8944	6	10	5	8	7	13
8945	1806.009	1984.594	2633.949	2075	2761.998	2559
8946	2047.999	1631	2994	1944	2935	3167.999
8947	6624.325	1936.768	6010.218	3455.555	6531.626	6743.112
8948	1162	909	1350	897	1515	1349
8949	253.004	284.993	411.001	289.005	373.196	425.375
8950	2321.006	1721	3165.068	2384.137	3440.022	3057.037
8951	60267.322	19936.917	27244.78	48505.883	6097.128	249957.833
8952	755.121	716.26	944.906	964.65	1307.156	1231.965
8953	3	1	8	4	3	8
8954	1375.05	1878.235	2499.868	1630.591	2305.179	2239.67
8955	109.999	59	136.999	101.701	104.643	172.173
8956	1678	1340.999	1944.001	1601	2364	2940.999
8957	31.848	12	71.009	36.09	71.09	71
8958	10485.051	10518.626	16024.008	9114.104	15393.999	12936.001
8959	601	846.999	973.488	867.999	894	1055.493
8960	2	3	0	2	1	9
8961	359	457	494.022	380	570	353
8962	0	2	0	0	0	0
8963	158	159	229	155.999	249	206.999
8964	2741	1920.999	3779	2459.001	4125.999	3964
8965	469	294	592	485	726	633
8966	6	3	8	5	19.999	11
8967	5906	6595	9576	6307	7527	7369
8968	43	49.999	63	78	86	120
8969	131.027	125	190.01	205.029	147.228	357.015
8970	162.999	226.999	278	209	274	263
8971	1287.937	1304.001	2040.498	1302.095	2070.594	1920.536
8972	1040.964	982.949	1381.14	867.985	1550.624	1550.27
8973	251	275	347	261	356	368
8974	63	19	73.001	62	106	113
8975	52	87	79	102	140.001	92
8976	75	58	64	43	31	175
8977	745	853	1048	846	1015.528	1619.001
8978	66	24	19	38	5	185
8979	113	61	117	108	183	153
8980	2189.839	1501.905	2639.357	2159.261	3218.245	3768.33
8981	62.877	48.671	122.969	50.135	99.905	93.051
8982	155.884	119.44	313.207	197.186	279.542	246.506
8983	156	109	247	157	254	310
8984	697.999	765	1146.001	785.998	1046	1026.001
8985	838	495	909	719	914	1535
8986	474.295	538.171	644.319	586	557	706.076
8987	1736.192	2018.752	2723.97	1950.048	3187.318	2771.287
8988	160	195	224	208	269	290
8989	367.67	397.334	465.884	591.691	372.302	814.974
8990	81.056	48	55.999	138.359	56.121	221
8991	5	9	5	6	3	14
8992	2110	2135.012	2716.528	2056.673	3333.349	3198.963
8993	365	515.999	507.001	448	428	669
8994	470.855	473.659	781.819	605.023	815.926	806.199
8995	8.241	9.216	5.152	1.02	11.486	1.033
8996	1567	1308	1939.001	1492	2362	2607
8997	137.001	52	222.999	264	584	421.954
8998	870	744.999	1092	938	1200	1495.001
8999	2094.999	1674.001	2965	1875.001	3406	2643.999
9000	799	669	1252	970	1677	1288
9001	133.001	101	144	128	146	152
9002	410.276	470.548	740.211	413.018	601.139	510.284
9003	41.109	39.201	42.038	43.106	12.019	104.34
9004	6	8	8	12	8	8
9005	483.296	216.003	484.001	395	621.645	769.162
9006	74	42	68	69	61	75.999
9007	118	73	143	122	224.998	195.999
9008	37.124	41.304	114.966	61.483	85.698	40.022
9009	5538.026	5233.875	8040.167	4480.742	8058.329	6161.96
9010	998.06	811.986	1299.726	1165.076	1731.311	2054.523
9011	3	2	1	3	5	4
9012	208.907	380.097	396.912	242.948	313.033	322.001
9013	1080.459	976.292	1499.531	1080.518	1264.164	1589.885
9014	2	2	1	4	2	8
9015	189.294	142.074	232.351	188.263	274.208	370.758
9016	13	36	73	46	40	34
9017	17	11	23	8	15	17
9018	87	111	150	101	95	113.999
9019	2655.001	2057.999	2967	2490	4132	4030
9020	238.001	150	264.999	248.001	357	373.999
9021	492.012	321.001	668.995	458.145	846.294	861.057
9022	1065	1070	1985	1012	1950	1183
9023	494	115	432	354	532	235
9024	976.001	936.001	1497	637	1204.999	1043.002
9025	87	50	91	75	136	153
9026	4	1	5	1	6	3
9027	140	70	123	133	146	339
9028	26	23	31	24	22	35
9029	132.087	71.694	237.365	226.286	395.798	343.668
9030	648	466	654.999	490	741	818
9031	518	368	638	491	714	673
9032	8	4	11	8	9	9
9033	1118	1064	1427.001	1093	2192.001	1647.999
9034	0	0	0	5.055	0	0
9035	221	136	265	233.001	362.001	246
9036	3065	1424	2309	2433	4164	4942
9037	382.771	286.214	475.325	330.97	597.343	585.781
9038	62	87	74	81	149	61
9039	3548	3984	5129	3693.999	5102	5544
9040	4	8.006	10.002	5	4.003	3
9041	1091.249	545.553	1155.526	995.019	1704.237	1726.526
9042	785.001	1010	1387	1259	1356.001	1566
9043	1	18	12	11	6	16
9044	1216	961.001	1872	1040.001	1793	1515
9045	854	1101	1536	1372	1694	1750
9046	0	1	0	4	0	2
9047	4.053	0	2.652	0	1.884	3.074
9048	131	90	209	116	262	243.999
9049	783	602	1029.001	742.932	1214.895	1194
9050	103	85	142	117.999	157.999	150
9051	33	41	50	57	60	57
9052	2043	2526	3149.001	2212	3047.001	2251
9053	250.149	138.346	177.837	219.147	217.1	537.294
9054	4216	1555	4440	4342	6078	3747
9055	486	382	574.004	444	596	669.005
9056	3653.604	3025.061	5169.561	3503.426	5950.132	5055.672
9057	322	223	363	340	633	499
9058	5	5	1	29	3	13
9059	0	0	0	0	0	0
9060	1549.716	1551.859	2126.777	1482.638	2515.331	2274.524
9061	129	122.049	185.878	77	129.03	152.999
9062	101	45.073	51	198	85.082	571.014
9063	0	0	2	0	0	0
9064	233.588	184.002	262.667	226.051	305.247	301.273
9065	377.425	189.524	325.369	300.441	409.187	605.5
9066	343	283	406	383	680	534
9067	21	18	42.922	22.887	72.016	60.031
9068	410.639	315.84	476.881	368.457	613.317	503.271
9069	635.765	437.055	529.063	752.047	789.151	1257.091
9070	182	85	163.001	174	231	385.001
9071	19.266	12.165	20.246	30.694	21.204	22.407
9072	85	45	97	81	158	112
9073	302	168	326	350	258	837
9074	85	46	81	61	102.033	94
9075	3	3	12	16	14	8
9076	52	19	13	85	2	338
9077	738.872	241	745.166	572.837	1459.423	960.095
9078	120	116.999	158	124	220	284.001
9079	0	0	0	0	0	0
9080	5315.999	3806.999	6855.999	3978.999	7481.999	6966
9081	501.001	642	885.001	644.001	865	732.001
9082	716	910	941	716	808	1379
9083	876.583	980.279	1292.434	1023.679	1398.219	1363.417
9084	651.001	408	653	526	684.999	1235
9085	27.867	17	11	8.002	5	5.008
9086	1206.854	827.399	1240.002	1229.746	1640.743	2043.513
9087	10	4	2	12	22	12
9088	50.248	42.719	53.152	44.335	27.918	41.722
9089	13.711	16.001	15	14	26	22
9090	897.001	1069	1240	1052	1277.999	1343.999
9091	2972.987	2954	3372.999	2432	3692.989	4126
9092	29.124	22.067	16.096	23	42.062	47
9093	0	1	0	0	0	0
9094	4727	2828	4619	5219	7187	7091
9095	2377.67	2002.291	3113.242	2607.445	2990.631	4438.45
9096	426.271	192.001	389.258	434.472	483.19	884.028
9097	23.001	9	24	22	34	41
9098	390.999	153	436	303	561	566
9099	17	8	35	7	10	6
9100	0	0	0	0	0	1
9101	60	24	104	70	183	138
9102	2166.001	1125	3191	1927	2993	2974
9103	0	0	0	0	0	0
9104	1	0	0	0	0	1
9105	557	580	731	674	891	824
9106	1	1.189	0	1.087	3.029	4.031
9107	31	17	32	19	24	32
9108	128.008	141.032	177.233	176.099	73.016	353.203
9109	0	0	0	0	0	0
9110	497.001	527.999	683.029	456.757	701.569	670.001
9111	2334	3627	3900	3282.965	3454	4328
9112	159	179.001	239.001	166	238.001	200.999
9113	5316.88	6647.9	8331.514	6081.91	8711.955	7569.964
9114	38	23	49	54	58	66
9115	637	641	1012	751	1116	1107.002
9116	635	767	646	2148	622	3837
9117	0	1	0	0	0	0
9118	2	0	1	1	0	0
9119	0	0	1	1	0	0
9120	1685	942	1941	1362	2459	2208
9121	962.999	563.091	1087.093	805.169	1239.08	1284.71
9122	1	0	0	3	3	0
9123	1302.001	700	1203.001	936	1651	2140
9124	0	0	2	1	3	1
9125	0	0	0	1	0	0
9126	549	303.999	493	426	758	661
9127	1242.999	836.999	1552.999	1092.001	1710.999	1867
9128	254	120	371	195	299.999	296.999
9129	893.525	1259.462	1588.718	1069.184	1215.84	1322.585
9130	932	1142.999	1473	1175.999	1403	1536
9131	645.999	695	1173	1005	1315.001	1348
9132	0	0	1.187	3.234	0	3
9133	0	0	0	0	0	0
9134	105.001	109.317	153.309	91	168.001	111
9135	170	182	218	274	283.001	395.006
9136	1537	1498	2244	1123	1873	1753
9137	105	98	178	122	179	117
9138	48.955	66.642	111.389	95.118	49.135	83.01
9139	1860.999	1104.683	2311.69	1363	3265.999	2010.999
9140	0	0	0	0	0	0
9141	2968.004	3680	4476	3349.999	4598.001	4013
9142	8	19	20	17	22	13
