counts	gene
230	343	ENSMUSG00000001305.5
231	2996	ENSMUSG00000001313.12
232	715.591	ENSMUSG00000001323.17
233	101	ENSMUSG00000001333.9
234	171	ENSMUSG00000001334.9
235	492	ENSMUSG00000001348.15
236	8	ENSMUSG00000001349.5
237	563.001	ENSMUSG00000001366.14
238	608.902	ENSMUSG00000001376.17
239	1142	ENSMUSG00000001380.7
240	1554	ENSMUSG00000001383.9
241	619.336	ENSMUSG00000001403.13
242	1385.788	ENSMUSG00000001415.10
243	4602.212	ENSMUSG00000001416.13
244	4594.134	ENSMUSG00000001418.13
245	1966.999	ENSMUSG00000001419.17
246	301.532	ENSMUSG00000001420.13
247	4693.851	ENSMUSG00000001424.14
248	1000	ENSMUSG00000001435.15
249	290	ENSMUSG00000001436.15
250	4279	ENSMUSG00000001440.5
251	1689.767	ENSMUSG00000001441.13
252	4	ENSMUSG00000001444.2
253	1259.719	ENSMUSG00000001445.10
254	931.176	ENSMUSG00000001467.5
255	3531.001	ENSMUSG00000001472.17
256	826	ENSMUSG00000001473.7
257	812.686	ENSMUSG00000001482.15
258	10	ENSMUSG00000001493.9
259	0	ENSMUSG00000001494.6
260	0	ENSMUSG00000001496.15
261	11.249	ENSMUSG00000001497.18
262	83	ENSMUSG00000001504.10
263	21401	ENSMUSG00000001506.10
264	3073	ENSMUSG00000001507.16
265	4	ENSMUSG00000001508.15
266	836	ENSMUSG00000001510.8
267	203	ENSMUSG00000001517.14
268	241.047	ENSMUSG00000001518.12
269	17.029	ENSMUSG00000001520.12
270	219.898	ENSMUSG00000001521.12
271	411.002	ENSMUSG00000001524.14
272	10168.047	ENSMUSG00000001525.10
273	748	ENSMUSG00000001542.7
274	7047.001	ENSMUSG00000001552.14
275	1252	ENSMUSG00000001555.10
276	6	ENSMUSG00000001558.5
277	3	ENSMUSG00000001566.9
278	726.872	ENSMUSG00000001569.10
279	1362	ENSMUSG00000001576.15
280	72	ENSMUSG00000001583.13
281	58	ENSMUSG00000001588.12
282	170.999	ENSMUSG00000001604.14
283	7	ENSMUSG00000001622.15
284	2690	ENSMUSG00000001627.12
285	427.338	ENSMUSG00000001630.13
286	846.07	ENSMUSG00000001632.16
287	647.996	ENSMUSG00000001642.18
288	31	ENSMUSG00000001655.6
289	1	ENSMUSG00000001656.3
290	62.021	ENSMUSG00000001657.7
291	24	ENSMUSG00000001661.5
292	203.001	ENSMUSG00000001663.10
293	226.019	ENSMUSG00000001665.11
294	544	ENSMUSG00000001666.8
295	0	ENSMUSG00000001670.13
296	137	ENSMUSG00000001672.14
297	895.001	ENSMUSG00000001674.11
