counts	gene
327	468.028	ENSMUSG00000001855.15
328	3711	ENSMUSG00000001864.13
329	2	ENSMUSG00000001865.2
330	91.13	ENSMUSG00000001870.16
331	6083.001	ENSMUSG00000001891.16
332	60	ENSMUSG00000001901.15
333	691.542	ENSMUSG00000001909.16
334	585	ENSMUSG00000001910.5
335	38	ENSMUSG00000001911.16
336	248	ENSMUSG00000001918.17
337	3989.528	ENSMUSG00000001924.15
338	57.113	ENSMUSG00000001930.17
339	424.001	ENSMUSG00000001942.8
340	40	ENSMUSG00000001943.8
341	1999	ENSMUSG00000001946.14
342	119	ENSMUSG00000001948.10
343	1057	ENSMUSG00000001962.8
344	817.8	ENSMUSG00000001964.14
345	191	ENSMUSG00000001983.7
346	14.152	ENSMUSG00000001985.9
347	7.008	ENSMUSG00000001986.16
348	1	ENSMUSG00000001988.9
349	979	ENSMUSG00000001995.9
350	99.532	ENSMUSG00000001998.15
351	879	ENSMUSG00000001999.15
352	20	ENSMUSG00000002006.12
353	0	ENSMUSG00000002007.5
354	1430.999	ENSMUSG00000002010.17
355	69	ENSMUSG00000002012.13
356	3941	ENSMUSG00000002014.12
357	5836	ENSMUSG00000002015.5
358	979.001	ENSMUSG00000002017.10
359	158	ENSMUSG00000002020.15
360	211	ENSMUSG00000002028.13
361	782.679	ENSMUSG00000002031.13
362	24	ENSMUSG00000002032.17
363	4	ENSMUSG00000002033.14
364	596.001	ENSMUSG00000002043.17
365	1771.626	ENSMUSG00000002052.6
366	382	ENSMUSG00000002055.9
367	18	ENSMUSG00000002057.4
368	953	ENSMUSG00000002058.13
369	188.58	ENSMUSG00000002059.18
370	2596.999	ENSMUSG00000002064.10
371	170	ENSMUSG00000002068.16
372	86	ENSMUSG00000002076.12
373	91	ENSMUSG00000002083.13
374	23	ENSMUSG00000002100.15
375	2750.001	ENSMUSG00000002102.15
376	522.729	ENSMUSG00000002103.16
377	3	ENSMUSG00000002104.11
378	447	ENSMUSG00000002105.15
379	139	ENSMUSG00000002107.18
380	209	ENSMUSG00000002108.10
381	100.271	ENSMUSG00000002109.14
382	71	ENSMUSG00000002111.8
383	1457.91	ENSMUSG00000002129.11
384	1160	ENSMUSG00000002147.18
385	3	ENSMUSG00000002190.13
386	140.971	ENSMUSG00000002204.9
387	756.053	ENSMUSG00000002205.16
