	NG-16677_M53_iso_preg_placenta_lib271061_6029_8_1_counts	NG-16677_M55_aly6g_preg_placenta_lib271064_6029_8_1_counts	NG-16677_M56_aly6g_preg_placenta_lib280131_6085_1_1_counts	NG-16677_M62_iso_preg_placenta_lib271062_6029_4_1_counts	NG-16677_M63_aly6g_preg_placenta_lib280132_6085_1_1_counts	NG-16677_M65_iso_preg_placenta_lib280130_6085_1_1_counts
ENSMUSG00000001158.13	489	643	945	664	761.999	796.001
ENSMUSG00000001166.17	225.739	245.625	300.792	283.852	367.344	271.968
ENSMUSG00000001168.16	3.02	0	2	0	1.008	0
ENSMUSG00000001173.15	216.93	191.699	292.292	224.493	364.101	451.456
ENSMUSG00000001175.15	13024	15804	18331	15222	17820	19407.001
ENSMUSG00000001211.15	1733.001	1111	1835	1809.001	1940.002	3409.999
ENSMUSG00000001225.12	7	7	5.771	4	8	21.646
ENSMUSG00000001227.12	66	47	80	44	97	142
ENSMUSG00000001228.14	424	508.993	511	549.571	898.464	654.001
ENSMUSG00000001229.9	562	595	801	553	922	950.001
ENSMUSG00000001240.13	281.746	309	524.001	365.573	486.319	296
ENSMUSG00000001247.16	756.992	677	741	1081.001	1002.974	1770.994
ENSMUSG00000001248.15	1009	873	1524.001	976	1671.999	1337.001
ENSMUSG00000001249.14	616.999	416	290	824.001	67	2418.001
ENSMUSG00000001260.10	0	0	0	0	1	0
ENSMUSG00000001270.9	2261	2765.725	3603	2201.699	3549	3248.738
ENSMUSG00000001280.13	1554.001	898	2074.999	1341	2684	2179
ENSMUSG00000001281.10	57.999	36	109	87	124	114
ENSMUSG00000001285.12	307	449.001	581.001	388.56	473	513
ENSMUSG00000001288.15	240	153	283	223	455	353
ENSMUSG00000001289.12	1339.555	2746	2644.211	2605.176	2025.184	2487.758
ENSMUSG00000001300.16	729	392	752	552	1157	743
ENSMUSG00000001305.5	252	456	474.97	343	482	442
ENSMUSG00000001313.12	2212.94	3445.082	3601	2996	3795.022	2849.933
ENSMUSG00000001323.17	839.663	683.032	1025.411	715.591	1008.038	1194.004
ENSMUSG00000001333.9	28	22	30	101	104	83
ENSMUSG00000001334.9	380	212	486	171	265	428
ENSMUSG00000001348.15	484	315	581	492	411.001	892
ENSMUSG00000001349.5	2	3	0	8	11	5
ENSMUSG00000001366.14	463	519	670.001	563.001	697.001	840
ENSMUSG00000001376.17	517.452	556.026	659.035	608.902	827.004	877.004
ENSMUSG00000001380.7	852	1312.999	1452	1142	1471	1482
ENSMUSG00000001383.9	1386	1789	2087	1554	2054	2279
ENSMUSG00000001403.13	336.579	563.616	530.892	619.336	385.69	653.604
ENSMUSG00000001415.10	1540.014	1182.645	1995.967	1385.788	2933.446	2073.201
ENSMUSG00000001416.13	3752.007	4843.943	5522.079	4602.212	5969.131	5932.09
ENSMUSG00000001418.13	5037.716	3949.962	6897.414	4594.134	7302.886	7055.638
ENSMUSG00000001419.17	2241	1633	2769.999	1966.999	3497	3384.999
ENSMUSG00000001420.13	319.999	218	303.41	301.532	384.001	476.159
ENSMUSG00000001424.14	4460.99	4788	6237.002	4693.851	6544.001	6778.999
ENSMUSG00000001435.15	1081.001	407	509.999	1000	663	2691
ENSMUSG00000001436.15	160	126	186	290	289.999	441
ENSMUSG00000001440.5	3921.001	3632	5058.999	4279	6142	5997
ENSMUSG00000001441.13	1793	1427.624	2474.08	1689.767	2554.343	2933.458
ENSMUSG00000001444.2	2	3	2	4	5	3
ENSMUSG00000001445.10	1052.134	1214.104	1445.707	1259.719	1482.427	1555.785
ENSMUSG00000001467.5	674.036	683	749	931.176	991	2047
ENSMUSG00000001472.17	3281.001	3535.001	4821	3531.001	4918	4821.999
ENSMUSG00000001473.7	530.98	749	999	826	1362.492	934.001
ENSMUSG00000001482.15	996.006	702.003	1227.791	812.686	949.77	1765.69
ENSMUSG00000001493.9	9	2	5	10	12	5
ENSMUSG00000001494.6	0	0	0	0	0	0
ENSMUSG00000001496.15	6.859	2.26	1.918	0	5.618	0
ENSMUSG00000001497.18	9.834	8.823	19.766	11.249	5.059	9.787
ENSMUSG00000001504.10	103.001	127.944	161.001	83	154	153.001
ENSMUSG00000001506.10	7595.999	1522	2611	21401	1907	26452.001
ENSMUSG00000001507.16	3358	1247	3593	3073	5946.999	4846
ENSMUSG00000001508.15	1	0	0	4	0	7
ENSMUSG00000001510.8	814	560	717	836	1351	1156
ENSMUSG00000001517.14	95	97	99	203	191.001	207
ENSMUSG00000001518.12	158	191.075	288.76	241.047	275.807	301.162
ENSMUSG00000001520.12	10	0	10.999	17.029	19	15.56
ENSMUSG00000001521.12	169.03	188.02	222.751	219.898	312.123	304.179
ENSMUSG00000001524.14	389	429	516	411.002	602	518
ENSMUSG00000001525.10	7226.025	9755.973	11227.886	10168.047	14506.061	10545.423
ENSMUSG00000001542.7	887.717	805.688	1135.653	748	965.051	1016.011
ENSMUSG00000001552.14	8475.826	7691	10254	7047.001	12321.073	9442.168
ENSMUSG00000001555.10	553	318.999	646.999	1252	928	898
ENSMUSG00000001558.5	8	9	15	6	15	9
ENSMUSG00000001566.9	3	1	15	3	3	3
ENSMUSG00000001569.10	730.76	660.471	882.221	726.872	954.467	1032.589
ENSMUSG00000001576.15	1446.999	1079	1516	1362	1754	2341
ENSMUSG00000001583.13	35	32	88	72	50.569	83
ENSMUSG00000001588.12	35	81.999	62	58	88	83.999
ENSMUSG00000001604.14	64	94	48	170.999	16	290
ENSMUSG00000001622.15	8.733	2	6	7	11	8.207
ENSMUSG00000001627.12	2730	2068.987	4040	2690	3707.001	3284.966
ENSMUSG00000001630.13	468.752	375.127	789.825	427.338	735.52	629.31
ENSMUSG00000001632.16	982.01	934.09	1436.038	846.07	1630.082	1383.017
ENSMUSG00000001642.18	415.557	497.643	690	647.996	617.015	822.001
ENSMUSG00000001655.6	16	10	2	31	50	24
ENSMUSG00000001656.3	2	2	1	1	0	5
ENSMUSG00000001657.7	9.016	24.057	19.13	62.021	10.035	57.138
ENSMUSG00000001661.5	18	9	24	24	5	37
ENSMUSG00000001663.10	82.001	75	21	203.001	13	315.999
ENSMUSG00000001665.11	172	207	130.559	226.019	124	366.999
ENSMUSG00000001666.8	317	548	530.358	544	473	637
ENSMUSG00000001670.13	1	0	0	0	0	0
ENSMUSG00000001672.14	150	92	181	137	171	327
ENSMUSG00000001674.11	697.845	1031.827	1197.001	895.001	1115.746	1204.808
ENSMUSG00000001687.15	1142	956.001	1668	1257	1485	1825
ENSMUSG00000001700.10	800	711	1050	764	1200	1020.999
ENSMUSG00000001707.8	455	714	841	613	696.999	734
ENSMUSG00000001729.14	7840.999	7944	12357	8128	14148	10794.999
ENSMUSG00000001739.14	26	26	11	135	12	178
ENSMUSG00000001741.12	7	39	41	25.006	31.029	24
ENSMUSG00000001750.16	441.66	288.075	704.803	519.669	885.396	723.973
ENSMUSG00000001751.9	918	474	1310	802	1549	1552
ENSMUSG00000001755.12	362.999	418	449	449	513	652.001
ENSMUSG00000001761.7	227.67	168.832	225	395	245	636.821
ENSMUSG00000001763.14	606.002	618.005	1035.999	516	807.179	728
ENSMUSG00000001767.5	764	846	1160	845	1238	1162
ENSMUSG00000001768.16	385.745	278.07	425.194	419.522	507.999	690
ENSMUSG00000001773.14	0	0	0	0	0	0
ENSMUSG00000001774.8	914.093	1037.819	1663.718	1232.515	1589.733	1802.093
ENSMUSG00000001783.3	1640	2175	2627	1994	2550	2685
ENSMUSG00000001785.13	357	441	491	399	621	559
ENSMUSG00000001786.14	531.999	482	635	366.999	469.999	544
ENSMUSG00000001794.13	3628	4473	5419.999	3922.001	5921	5007
ENSMUSG00000001802.16	40	28	43	54	63	141
ENSMUSG00000001804.9	6	4	15	3	8	13
ENSMUSG00000001815.15	0	0	0	0	0	0
ENSMUSG00000001819.4	9	5	9	12	30	13
ENSMUSG00000001823.5	0	0	0	0	2	0
ENSMUSG00000001827.12	2671	2638	2872.994	3263	1962	6783.999
ENSMUSG00000001829.17	513.999	477	667	516	757	735.99
ENSMUSG00000001833.17	3038	3103.052	4286.367	3344.062	4605.999	5113.062
ENSMUSG00000001844.10	302	254.999	414	350.999	495	440
ENSMUSG00000001847.14	6913.971	7301.98	11111.975	8319.07	11171.966	11485.984
ENSMUSG00000001855.15	629	468.028	721	543	919	812.023
ENSMUSG00000001864.13	3776	3711	7042.001	5222	8547	7621
ENSMUSG00000001865.2	16	2	12	4	14	12
ENSMUSG00000001870.16	269.427	91.13	366.405	347.173	301.278	496.671
ENSMUSG00000001891.16	4709	6083.001	6626	5341	6794	7597
ENSMUSG00000001901.15	50	60	42	37	99	102
ENSMUSG00000001909.16	604.491	691.542	933.002	671	1006.486	835.998
ENSMUSG00000001910.5	1055	585	1119	852.704	1179.573	1716.963
ENSMUSG00000001911.16	78	38	62	97	148	95
ENSMUSG00000001918.17	423	248	420	757	993.001	878
ENSMUSG00000001924.15	3255.385	3989.528	4504.197	3692.732	5395.039	5083.855
ENSMUSG00000001930.17	180	57.113	163.26	140	460	250.19
ENSMUSG00000001942.8	971.035	424.001	1145.04	825.005	1347.017	1275.999
ENSMUSG00000001943.8	56	40	108	95.001	88.999	65
ENSMUSG00000001946.14	3346	1999	4163	2514.001	4606	3964.999
ENSMUSG00000001948.10	87	119	87	94	119	103
ENSMUSG00000001962.8	799	1057	1316	1016	1389	1319
ENSMUSG00000001964.14	713.329	817.8	1013.258	838.325	1222.8	1043.339
ENSMUSG00000001983.7	179	191	212	162	221	231
ENSMUSG00000001985.9	110.364	14.152	45.189	23.071	60.527	98.305
ENSMUSG00000001986.16	20	7.008	20.043	37.234	6.008	40.04
ENSMUSG00000001988.9	0	1	0	0	1	0
ENSMUSG00000001995.9	1608	979	1675	1219	2608	2068.163
ENSMUSG00000001998.15	178.146	99.532	184.29	158.586	296.027	253.088
ENSMUSG00000001999.15	524	879	965	674	788	788
ENSMUSG00000002006.12	11	20	12	34	37	46
ENSMUSG00000002007.5	2	0	4	11	2	12.001
ENSMUSG00000002010.17	1004.001	1430.999	1530.001	1404.998	1576	1728.999
ENSMUSG00000002012.13	46	69	63	57	36	119
ENSMUSG00000002014.12	3663	3941	6447	4164	4464	4849
ENSMUSG00000002015.5	6581	5836	8483	6399	8034	8681
ENSMUSG00000002017.10	894	979.001	1262	1010	1143.001	1501
ENSMUSG00000002020.15	99	158	226	97.001	189	111
ENSMUSG00000002028.13	777	211	627	470	964	780
ENSMUSG00000002031.13	561.998	782.679	859.703	638.261	859.778	844.996
ENSMUSG00000002032.17	31	24	52	40	28	79
ENSMUSG00000002033.14	4	4	2	4	13	1
ENSMUSG00000002043.17	354	596.001	602.999	427	529.999	552.001
ENSMUSG00000002052.6	2157.885	1771.626	2499.193	1831.699	3030.012	2830.783
ENSMUSG00000002055.9	443.185	382	601.411	444.001	616.793	564.197
ENSMUSG00000002057.4	11	18	6	17	20	8
ENSMUSG00000002058.13	840	953	1139	1056	1244	1300
ENSMUSG00000002059.18	149.443	188.58	263.446	253.009	255.863	373.635
ENSMUSG00000002064.10	2031	2596.999	3095	2573	2813	3242
ENSMUSG00000002068.16	109	170	140	301	307	265
ENSMUSG00000002076.12	111.008	86	212.007	170.001	219.012	109.002
ENSMUSG00000002083.13	128	91	158	121	185.999	172
ENSMUSG00000002100.15	39	23	54	23	35	37
ENSMUSG00000002102.15	1818	2750.001	2927.001	2495.999	2629.999	2902.001
ENSMUSG00000002103.16	866.847	522.729	1124.817	768.8	1286.014	1274.842
ENSMUSG00000002104.11	2	3	4	3	9	10
ENSMUSG00000002105.15	685.001	447	922.999	698.999	1030.001	1119
ENSMUSG00000002107.18	252	139	262.999	206	269	337
ENSMUSG00000002108.10	151	209	174	335	120.999	531.999
ENSMUSG00000002109.14	86.157	100.271	162.397	132	151	173
ENSMUSG00000002111.8	57	71	119	60	61	68
ENSMUSG00000002129.11	1228	1457.91	1769	1316	1944.001	1688.999
ENSMUSG00000002147.18	1455	1160	1770.001	1256	2008.001	1922
ENSMUSG00000002190.13	2	3	3	4	5	2
