	NG-16677_M53_iso_preg_placenta_lib271061_6029_8_1_counts	NG-16677_M55_aly6g_preg_placenta_lib271064_6029_8_1_counts	NG-16677_M56_aly6g_preg_placenta_lib280131_6085_1_1_counts	NG-16677_M62_iso_preg_placenta_lib271062_6029_4_1_counts	NG-16677_M63_aly6g_preg_placenta_lib280132_6085_1_1_counts	NG-16677_M65_iso_preg_placenta_lib280130_6085_1_1_counts
ENSMUSG00000031729.6	2441.311	2327.591	3428.999	2516.19	3556.648	3452.169
ENSMUSG00000031730.18	115	136.021	195	154.236	217.146	204.018
ENSMUSG00000031731.16	2200.999	1805.999	2599	2124.372	3016.514	3540.454
ENSMUSG00000031732.12	1004	459	772	630	1341	1269
ENSMUSG00000031734.13	652	721	891	620	1184.977	926.987
ENSMUSG00000031737.11	9	6.055	9	4	24	4
ENSMUSG00000031738.14	0	0	0	0	2.023	1.013
ENSMUSG00000031740.8	207	124	313	334.999	392.999	597.001
ENSMUSG00000031748.16	81	48	78.001	91	103.999	142.999
ENSMUSG00000031749.12	195.999	137	214	264	401	428
ENSMUSG00000031750.15	58.001	37	67.999	37	42	67
ENSMUSG00000031751.14	2896	1835	3131	3153	3529	6112
ENSMUSG00000031753.16	1277	1596.999	1613.999	1535	1691.001	2205.001
ENSMUSG00000031754.10	785.146	862.846	986.034	899.779	989.749	1169.309
ENSMUSG00000031755.6	122	119	168	125	212	159
ENSMUSG00000031756.5	86	117.079	121.864	155.997	176.003	138.061
ENSMUSG00000031757.7	5	10	28	9	19	9
ENSMUSG00000031758.10	87	69	144	68	145	112
ENSMUSG00000031760.9	18	20	47	35	27	55
ENSMUSG00000031762.7	5767	6939	9200	9913	9317	13525
ENSMUSG00000031765.8	5294	6719	7840	9290.999	8434	13267.001
ENSMUSG00000031766.4	2.009	3	1	1	2.002	0
ENSMUSG00000031767.13	162.001	169.002	184.051	202.008	160.023	230.023
ENSMUSG00000031770.16	1362	1133	2117	1382	1687	2291
ENSMUSG00000031772.17	0	0	0	0	0	2
ENSMUSG00000031774.8	793	1050	1274.001	967.001	1218.969	1328.999
ENSMUSG00000031775.5	142	94.999	64	225	30	465.999
ENSMUSG00000031776.17	453	412	667.999	680.001	853	803
ENSMUSG00000031778.13	129	54	147	123	177	298
ENSMUSG00000031779.3	2	7	29	3	42	22
ENSMUSG00000031780.2	4	1	3	5	4	8
ENSMUSG00000031781.14	759.716	946.322	1082.774	1004.732	1231.079	1159.001
ENSMUSG00000031782.15	487	602	759	626	649.999	891
ENSMUSG00000031783.10	735.459	1142.835	1345.044	1007.603	1158.588	1251.374
ENSMUSG00000031785.16	3456.001	1633	2587	2665.001	4956.001	4251.999
ENSMUSG00000031786.7	0	0	0	2	2	0
ENSMUSG00000031787.8	332	408	503.016	374	554.001	530
ENSMUSG00000031788.14	1120	917.001	1131.985	922	1173.001	1935
ENSMUSG00000031789.17	11.402	1	7	15.227	9.171	28
ENSMUSG00000031790.8	5819.806	2955.444	7966.684	3693.769	8764.199	5491.331
ENSMUSG00000031791.8	78	72	127	90	141	122
ENSMUSG00000031792.15	877	926	1292	823	1512	1159
ENSMUSG00000031796.7	953.956	1393.92	2050.31	1157.223	1691.223	1471.477
ENSMUSG00000031799.10	15687.885	19362.602	28317.251	16274.551	25961.99	19621.133
ENSMUSG00000031803.8	343.381	158	410.716	309.334	460.01	465.028
ENSMUSG00000031805.17	650.162	716.679	1163.539	592.539	1315.529	854.004
ENSMUSG00000031807.10	450	626.084	842.999	697	869	1015.98
ENSMUSG00000031808.7	268.316	166.268	290.11	236.942	432.318	398.214
ENSMUSG00000031809.10	1	0	0	0	0	0
ENSMUSG00000031812.16	2812.145	3515.091	4227.277	3725.953	3708.353	5452.165
ENSMUSG00000031813.8	849	1297	1349.999	1089.009	1258.999	1467.999
ENSMUSG00000031816.15	313.809	354.055	541.354	414.067	560.082	487.062
ENSMUSG00000031818.12	6057.999	11149.041	11214.079	10028.839	9044	10120.024
ENSMUSG00000031819.13	793	1153.949	1483.943	1211.533	1353.83	1382
ENSMUSG00000031820.9	594	880.001	967.881	829.365	1026.98	996.004
ENSMUSG00000031821.11	258.126	325.248	470	412	355.999	452.462
ENSMUSG00000031822.20	1562.874	787.753	1333	890	1861	1702.539
ENSMUSG00000031823.14	790	574	957	794	1242	1169
ENSMUSG00000031824.15	216.999	137	342	150	340	313
ENSMUSG00000031825.16	444	208	655	451	889	549
ENSMUSG00000031826.20	794.001	856	1060	852.002	1241.999	1192.999
ENSMUSG00000031827.13	1249	1500	1583	1753	1975.001	2712
ENSMUSG00000031828.9	99	129	144	107	162	140
ENSMUSG00000031831.6	16	17	22	20	18	32
ENSMUSG00000031832.15	263	265	306	268.001	424	337.001
ENSMUSG00000031833.10	142.229	137.551	179.76	153.221	188.151	340.478
ENSMUSG00000031834.15	533	507.001	674	576	750	1322.001
ENSMUSG00000031835.16	2660.074	1581.178	3152.3	2503.175	4355.991	3794.995
ENSMUSG00000031837.14	8	8	11	16	16	21
ENSMUSG00000031839.7	1524	2044	2345.999	2272	1981	2756
ENSMUSG00000031840.12	111	118	156	97	128	120
ENSMUSG00000031841.19	283	99	430.009	425	615.004	480
ENSMUSG00000031842.14	11.045	11.915	19.349	15.082	15.577	21.768
ENSMUSG00000031843.2	575	708.943	897.001	638	877.999	911.942
ENSMUSG00000031844.8	4130	3021	4211	2767	3057	5393
ENSMUSG00000031845.15	95.094	161.547	165.512	196.402	177.625	166.433
ENSMUSG00000031847.8	56	91	128	70	123	73
ENSMUSG00000031848.15	627.001	1002	1094	1067	1058	1086.001
ENSMUSG00000031849.9	99	65	103	97	160	139
ENSMUSG00000031851.14	167	254.999	274	199	259.999	261
ENSMUSG00000031853.5	785	442	868	389	819	702
ENSMUSG00000031858.16	1444.313	1026.377	1888.242	1297.923	2241.587	1824.436
ENSMUSG00000031860.17	46	80	110	51	64.999	58
ENSMUSG00000031861.16	588.055	410.398	664.085	484.132	872.84	777.113
ENSMUSG00000031862.11	1032.999	624.001	1300	985	1787	1562.001
ENSMUSG00000031864.16	567.992	645.001	719.003	550	761	798
ENSMUSG00000031865.16	2006.003	2135.108	2674.442	1998.938	3098.021	3138.097
ENSMUSG00000031870.16	350	360	579	606	1406	898
ENSMUSG00000031871.9	11855	4791	14304	9617	22914	13235
ENSMUSG00000031872.14	43	35	78	45	93.999	77
ENSMUSG00000031875.7	1182.001	1106	1881	1471.001	2200	1661
ENSMUSG00000031876.18	0	0	0	0	0	0
ENSMUSG00000031877.9	12.086	11	33.856	17	16	17.001
ENSMUSG00000031878.18	511.168	642.185	789.195	691.253	762.127	988.242
ENSMUSG00000031879.14	506	662.999	954	646	701.999	756
ENSMUSG00000031880.7	50	66	70	122	55	133
ENSMUSG00000031881.6	1	0	1	1	0.998	6
ENSMUSG00000031883.13	67	55	52	62	16	158.731
ENSMUSG00000031885.14	760	605.999	1072	911.999	1463	1279
ENSMUSG00000031886.14	1.061	0	0	1	1	6.527
ENSMUSG00000031887.13	321	450	473	429	485	553
ENSMUSG00000031889.9	682.999	543	923	716.999	986.999	1111
ENSMUSG00000031891.6	481	1294	491	1861	2291	1531
ENSMUSG00000031893.7	2	1	7	0	0	0
ENSMUSG00000031896.7	0	0	14	0	1	1
ENSMUSG00000031897.9	88	140.999	275	165	151.001	196
ENSMUSG00000031898.9	2	0	0	1	0	0
ENSMUSG00000031901.12	124.928	130	159.049	127.061	124	193
ENSMUSG00000031902.10	919.145	617.288	1067.095	819.996	1479.452	1370.782
ENSMUSG00000031903.7	272	152	305	431	484	795
ENSMUSG00000031904.5	501	217	628.001	841.001	884	711
ENSMUSG00000031906.9	211.206	80.225	41.221	165.105	23.329	721.806
ENSMUSG00000031907.9	200.063	194	270.744	199.013	307.351	344.017
ENSMUSG00000031910.14	4	0	1.001	3	3	6
ENSMUSG00000031913.9	805	971	1242	934	1177	1357
ENSMUSG00000031916.17	697.44	776.479	1010.374	816.082	1102.523	1044.736
ENSMUSG00000031917.12	675.351	1069.102	1117.082	898.865	950.362	1061.259
ENSMUSG00000031918.16	1090.96	1065.001	1606	1357	1787.951	1696.918
ENSMUSG00000031919.6	4	7	4	11	2	41
ENSMUSG00000031921.17	581.001	555.999	664	615.002	817	883
ENSMUSG00000031922.12	341.843	386.999	499.118	431.467	501.526	611.478
ENSMUSG00000031924.4	1787	1755	2462	2067	3126	2899
ENSMUSG00000031925.17	101.086	40.89	92.016	68	121.001	117.892
ENSMUSG00000031927.9	0	0	3	1	0	0
ENSMUSG00000031928.15	299.799	330.1	387.904	364.54	531.505	509.469
ENSMUSG00000031930.11	636	673	767	731	894	1201.999
ENSMUSG00000031931.4	320.001	428	589	408	577	553
ENSMUSG00000031932.14	0	2	1	4	7	0
ENSMUSG00000031933.17	13	14	22	22	31	16
ENSMUSG00000031934.14	75.001	49.999	102	113.999	155.999	127
ENSMUSG00000031935.9	728	833	965	845.001	999	1057.001
ENSMUSG00000031936.9	10	5	10	9	30	21
ENSMUSG00000031937.7	452	612	984	420	642	562
ENSMUSG00000031938.15	1062.529	1082.322	1375.149	1086.457	1485.986	1507.388
ENSMUSG00000031939.16	413.532	531.866	832.733	582.22	793.466	717.492
ENSMUSG00000031948.14	1188	1681.027	1892.327	1455.289	1988.013	1882.878
ENSMUSG00000031949.17	84.373	103.748	116	115.568	138.077	164.627
ENSMUSG00000031950.7	1618.321	2542.94	2557.877	2305.674	2013.222	2625.034
ENSMUSG00000031951.8	152	116	177.098	144.023	177	208.041
ENSMUSG00000031952.5	15	8	8	9	1	14
ENSMUSG00000031953.2	578	386	708	536	812	904.128
ENSMUSG00000031954.6	1615	2481	2712	1836	2562	2445
ENSMUSG00000031955.10	3197.108	2939.001	3937.224	2717.643	4253.04	4307.066
ENSMUSG00000031957.6	1	1	39	0	0	3
ENSMUSG00000031958.16	25.999	24	37	31	48.999	44.999
ENSMUSG00000031959.15	266.071	267.157	401.73	260.516	442.911	394.142
ENSMUSG00000031960.14	2695.999	2250	3724.001	2616.999	4076	3234
ENSMUSG00000031962.6	0	1	2	2	5	0
ENSMUSG00000031963.8	416	165	508	379	544	454.999
ENSMUSG00000031965.15	107.156	56.308	69.702	173.689	42.069	280.861
ENSMUSG00000031966.7	0	1	2	0	1	1
ENSMUSG00000031967.15	1589.001	1560	2152.995	1549.021	2331	2471.999
ENSMUSG00000031969.16	411	417	518	489	553.999	649.999
ENSMUSG00000031970.16	9	11	16	13	15	11
ENSMUSG00000031971.15	59	53	105	71	116	112
ENSMUSG00000031972.5	39.717	25.252	33.995	30.081	25.482	63.377
ENSMUSG00000031974.8	568	371	516	565	704	1044
ENSMUSG00000031976.14	408	242	412	424	653	575
ENSMUSG00000031979.17	556	647	768.999	676	825	911
ENSMUSG00000031980.10	1052	606	676	909	68	3898
ENSMUSG00000031981.7	4	3	3	0	3	4
ENSMUSG00000031982.5	81	59.001	80.001	92	96	126
ENSMUSG00000031983.7	1332	1098	1625	1473	2318	2534
ENSMUSG00000031984.8	463.082	479.142	730.285	555.905	774.59	753.803
ENSMUSG00000031985.9	838	850	1079	941	1129.001	1470.999
ENSMUSG00000031986.6	708	485.066	818.96	623.001	1216	1030
ENSMUSG00000031987.6	1096	920	1718	1019	1781	2046
ENSMUSG00000031988.10	756	714	1051	713	1143	1078
ENSMUSG00000031990.15	94	104	127	150	203	176
ENSMUSG00000031991.10	0	0	0	0	0	0
ENSMUSG00000031993.7	673	322	734	605	977	920
ENSMUSG00000031994.13	26	19	35	31	45	41
ENSMUSG00000031995.9	661.265	375	633.98	989.027	874.627	1723.53
ENSMUSG00000031996.17	6700	1953	5578	5018.999	9353.001	7847.999
ENSMUSG00000031997.9	29.558	9.836	22.928	34.483	35.865	23.698
ENSMUSG00000032000.17	330.468	311.319	498.539	265.559	431.483	453.581
ENSMUSG00000032002.10	1195.999	1726.999	2385	1491	2113	1736
ENSMUSG00000032006.15	34	23	40	44	83	46
ENSMUSG00000032009.8	598	295	643.005	493	620	1025
ENSMUSG00000032010.15	356.001	238	517	309	481	422
ENSMUSG00000032011.5	77	223.999	167	289.999	418	228.001
ENSMUSG00000032012.8	444	147	411	446	662	950
ENSMUSG00000032013.6	114	74	95	79	196	119
ENSMUSG00000032014.6	3600	4231	6625	4769	6988	5501.001
ENSMUSG00000032015.16	369	220	396	285	534	379
ENSMUSG00000032017.14	5.035	5	11	15	3	25
ENSMUSG00000032018.14	599.93	504.571	689.257	704.706	670.213	1549.093
ENSMUSG00000032020.15	181	155	218	226	310	306
ENSMUSG00000032021.14	1	1	2	2	1	2
ENSMUSG00000032023.7	5	5	17	7	17	10
ENSMUSG00000032024.10	764	494.001	1087	777	1674	1230
ENSMUSG00000032026.7	1028.999	1459.999	1532.999	988.001	1400.001	1237
ENSMUSG00000032028.15	51	27	32	25	24	52
ENSMUSG00000032030.16	641	653	792.999	702.999	1113	1180.999
ENSMUSG00000032033.11	58	59	122	44	65	73
ENSMUSG00000032034.6	18	5	1	5	12	5
ENSMUSG00000032035.16	419	367	546	423	772.001	512
ENSMUSG00000032036.15	52	20	32	15	23	48
ENSMUSG00000032038.7	777	805	1109	965.001	1347	1256
ENSMUSG00000032040.15	289	474	421	433	357	597
ENSMUSG00000032041.15	242.079	130.582	249.025	225.227	318.13	376.993
ENSMUSG00000032042.11	3322.161	2659.097	4599.722	3567.987	5090.588	5006.211
ENSMUSG00000032044.4	363	447	547	533	571	689
ENSMUSG00000032046.15	1465	1144.001	1718.999	1657.001	1833	2939.001
ENSMUSG00000032047.5	1569	2274	2365	2367	1945	3728
ENSMUSG00000032050.18	4738.999	5331	5751.001	4874	6309	7422
ENSMUSG00000032051.9	1073	1400	1899	1206	1726	1718
ENSMUSG00000032053.8	9	15	7	9	4	22
ENSMUSG00000032056.10	0	0	0	1	1	0
ENSMUSG00000032057.9	0	0	0	0	1	3
ENSMUSG00000032058.14	506.999	561	683	665	827	965
ENSMUSG00000032059.13	574	413.001	747.999	552.726	810.001	774.998
ENSMUSG00000032060.10	6827	9726	13642	8403.999	12793	13225
ENSMUSG00000032062.2	1154	1414	2375	1374	1803	1711
ENSMUSG00000032064.17	426.023	380.008	587.007	419.003	918.002	729.277
ENSMUSG00000032065.6	2	4	7	0	2	5
ENSMUSG00000032066.9	11	21	19	16	17	13
ENSMUSG00000032067.6	317.804	456.927	523.909	546.096	401.435	759.879
ENSMUSG00000032068.14	4780.711	3669.035	5818.688	4531.94	6836.528	7680
ENSMUSG00000032076.19	81	41	66	114	125	213
ENSMUSG00000032077.5	367.904	455.364	549.323	395	545	477.02
ENSMUSG00000032078.17	502.001	641	861.999	551	785.999	827
ENSMUSG00000032079.12	2	4	2	6	6	9
ENSMUSG00000032080.6	16139.992	8655.984	8568.934	17051.986	790	65725.861
ENSMUSG00000032081.10	63	77	35	146	3	289
ENSMUSG00000032083.8	38758	23371	21930	40770	1505	153807
ENSMUSG00000032085.5	175	276	336	230	342	281
ENSMUSG00000032086.12	575.912	343.958	636.163	605.598	1049.555	934.897
ENSMUSG00000032087.10	1	0	1	0	4	1
ENSMUSG00000032089.16	98	50	163	88	253	103
ENSMUSG00000032091.15	88	107.999	144	273	155	484
ENSMUSG00000032092.5	1907.962	1854.007	3740	1980.6	3081.569	2470.002
ENSMUSG00000032093.7	1	3	1	0	3	2
ENSMUSG00000032094.8	1	3	3.121	1	6	1
ENSMUSG00000032096.16	5400.043	5258.799	7613.629	5552.837	8076.439	8323.48
ENSMUSG00000032097.10	2961.136	1956.479	3545.498	2615.404	4566.237	4085.112
ENSMUSG00000032098.13	3	3	2	4	1	2
ENSMUSG00000032099.3	0	0	0	0	1	0
ENSMUSG00000032101.6	10	16	25	9	19	18
ENSMUSG00000032103.10	137	149	221	143	218	222.988
ENSMUSG00000032105.5	150	140	117	256	128	519
ENSMUSG00000032108.3	0	0	0	0	0	0
ENSMUSG00000032109.15	372	250	492	322.022	591.005	437
ENSMUSG00000032110.4	0	0	0	0	0	0
ENSMUSG00000032112.10	736.858	1064.909	1335.04	987.095	1346.008	1243.072
ENSMUSG00000032113.16	43	78	112	122	137.025	138.972
ENSMUSG00000032114.9	500.001	357	479.999	668	298	1622
ENSMUSG00000032115.14	8483.012	2910.07	9157.089	5896.394	11887.162	9416.13
ENSMUSG00000032116.18	8287	4105	10604.001	7353.001	11655	11291.012
ENSMUSG00000032118.16	88	71.999	145	110	180	191
ENSMUSG00000032119.5	331.339	324	491.87	403.001	613.062	500.052
ENSMUSG00000032120.11	592	391.001	702.001	633.002	872	1131.999
ENSMUSG00000032121.9	420.98	472.07	646.1	469.211	519.059	589.947
ENSMUSG00000032122.15	43	20	38	47	89	61
ENSMUSG00000032123.5	677.96	559.993	894.219	738	1077.325	947.141
ENSMUSG00000032125.20	195	90	143	109	186	163
ENSMUSG00000032126.16	1418.017	1946.434	2039.999	1795.005	2017.009	2127.008
ENSMUSG00000032127.9	875.001	890	1109.001	980	1386.999	1564
ENSMUSG00000032128.15	0	0	0	0	1	3
ENSMUSG00000032131.16	10	4	8	16	24	15
ENSMUSG00000032135.15	387.999	242	475	442.001	551	610
ENSMUSG00000032171.7	593.366	904.318	1111.326	892.139	1065.445	1013.287
ENSMUSG00000032172.8	17	14	29	32	13	46
ENSMUSG00000032174.5	15	9	14	15	18	17
ENSMUSG00000032175.11	605.562	480.622	757	509	1001.004	848
ENSMUSG00000032177.17	188.797	181	226	180	281.001	195
ENSMUSG00000032178.14	820.999	821.999	994	956	1460	1445.001
ENSMUSG00000032179.7	11	11	2	19	1.141	25.001
ENSMUSG00000032180.11	272.999	221	418.293	401	403	522
ENSMUSG00000032181.7	4	0	4	3	2	1
ENSMUSG00000032182.15	1197.562	1002.503	1816	1249.573	1778	1649.694
ENSMUSG00000032184.5	195	312	408.001	266	389	295
ENSMUSG00000032185.15	1736.437	1848.497	2573.999	1766.427	3031	2365.306
ENSMUSG00000032186.15	11	20	26.021	19	31	16
ENSMUSG00000032187.16	2058	1884.001	2543.951	1751	2999.006	2939.001
ENSMUSG00000032191.6	0	0	0	0	0	0
ENSMUSG00000032192.9	52	71	97	65	101	94
ENSMUSG00000032193.9	2417.034	1059.999	2663.08	2120.308	4478.891	3284.997
ENSMUSG00000032194.9	874.793	866.603	1070.156	1188.912	1418.938	2050.05
ENSMUSG00000032198.9	763	785	1029	659.263	1230	914.001
ENSMUSG00000032199.13	2928	2924	4129	3529	4599	4889
ENSMUSG00000032202.11	470.312	380.265	679.932	351.238	584.516	498.483
ENSMUSG00000032204.13	27	33	16	25	20	28
ENSMUSG00000032207.10	54	43	53	96	16	309.001
ENSMUSG00000032212.10	701	693	818	631	1021.999	996.999
ENSMUSG00000032215.15	701	1033.364	1039	1008.492	1124.019	1072
ENSMUSG00000032216.15	9181.212	6386.073	10443.812	8577.112	12020.911	16715.04
ENSMUSG00000032217.13	852	557.002	1013.001	819.001	1320.001	1304.001
ENSMUSG00000032218.7	151	228	184	383	263	426
ENSMUSG00000032220.10	2156	1806	3005	1825	3242	2410
ENSMUSG00000032221.14	40.039	31.541	11	18.123	41.942	50.144
ENSMUSG00000032224.15	25.198	47.918	33	23.191	45.798	41.001
ENSMUSG00000032226.5	78	33	102	112	92	83
ENSMUSG00000032228.16	1567.268	1447.521	2199.054	1364.383	2548.452	2257.132
ENSMUSG00000032231.14	18927.999	27923.001	30866	19214	24113	24961.001
ENSMUSG00000032232.14	2925	2109	2969.999	2413.999	4021.001	3732.999
ENSMUSG00000032235.15	247	283	348	296.001	389	430
ENSMUSG00000032238.17	936.181	320.397	1105.001	452	947.999	974
ENSMUSG00000032239.10	419.045	560	753	462.001	598.999	674.967
ENSMUSG00000032243.8	128.751	43.407	135.448	72.408	163.659	160.514
ENSMUSG00000032244.9	3912	2873	3928	3422	4757	7118
ENSMUSG00000032245.12	1677	1430	1997.999	1840	2251	3870
ENSMUSG00000032246.14	336	612.001	598.002	419.185	360.065	555.002
ENSMUSG00000032249.14	897.001	1130.999	1168.999	902.999	836	1673
ENSMUSG00000032251.12	65	100	120	97	118	148
ENSMUSG00000032252.14	516	227	542	406	742	589.001
ENSMUSG00000032253.13	498.087	317.587	600.344	537.17	810.935	809
ENSMUSG00000032254.10	158.999	134	152.984	272.016	210.003	317.999
ENSMUSG00000032257.6	0	1	1	0	0	0
ENSMUSG00000032258.15	90	56	128	85	150.999	92
ENSMUSG00000032259.8	2	1	1	1	1	0
ENSMUSG00000032261.16	1491	882	1654	1082.999	1899	1722
ENSMUSG00000032262.13	38	10	28	23	30	33
ENSMUSG00000032263.14	237.288	297.073	395.541	259.054	381.16	268.884
ENSMUSG00000032264.9	352.835	384.608	509.174	410	565.144	533.088
ENSMUSG00000032265.14	5578	3050	6515	3704	5738	6289
ENSMUSG00000032267.8	153.001	155	121	188	170	263
ENSMUSG00000032268.13	0	0	1	0	0	0
ENSMUSG00000032269.8	0	0	0	0	0	0
ENSMUSG00000032271.13	27	32	52	54	79	62
ENSMUSG00000032274.9	0	0	3	0	0	1
ENSMUSG00000032278.11	75	47	26	84	30	240
ENSMUSG00000032279.11	1091	1388	1674	1279	1618.999	1506
ENSMUSG00000032280.16	1849	1415	2378.999	1931.001	4130	2515.001
ENSMUSG00000032281.11	80	78	185	106	184	172
ENSMUSG00000032285.15	180	218	319	188	292	292
ENSMUSG00000032288.9	423	655.996	870	677	782	783.974
ENSMUSG00000032289.15	113.006	12.659	120.563	62.03	244.004	162
ENSMUSG00000032290.7	1238	817	1565	1126	1951	1845
ENSMUSG00000032291.8	91	35	101	65	113	81
ENSMUSG00000032292.8	4	2	0	0	1	0
ENSMUSG00000032293.8	2573	1864	2892.003	2274.994	3413.962	4005
ENSMUSG00000032294.17	13549.451	18902.421	23620.84	14208.028	24423.412	19462.764
ENSMUSG00000032295.15	546.745	572.101	765.176	615.124	953.65	906.506
ENSMUSG00000032297.11	2.827	0	0	1	4.004	0
ENSMUSG00000032298.13	119.792	113.997	137.864	126.845	172.364	161.904
ENSMUSG00000032299.10	821.001	991	1151	996	1071.999	1579
ENSMUSG00000032300.7	1663.001	1410	1929.994	1476	2603.993	2083.999
ENSMUSG00000032301.13	1507.496	2272.616	2545.164	2043.86	2251.583	2645.04
ENSMUSG00000032303.8	0	1.096	1.055	0	0	0
ENSMUSG00000032305.15	647.871	629.006	1122.986	780.357	1332.608	900.196
ENSMUSG00000032306.14	230.999	276	261.001	299	209	482
ENSMUSG00000032307.16	1896	1953	2757.999	2166	3142	2838
ENSMUSG00000032308.9	95.704	92.427	134.804	114.638	139.785	176.719
ENSMUSG00000032309.15	1038.576	1382.058	1469.512	1527.738	1460.058	2715.851
ENSMUSG00000032310.4	4	0	1.022	0	0	2.06
ENSMUSG00000032311.17	66.013	75	111	63	115.042	87
ENSMUSG00000032312.7	1344	1389	1774.999	1469.999	2131.999	2067.999
ENSMUSG00000032313.11	24.001	28	35.535	16	44	36
ENSMUSG00000032314.14	1816.969	2315.194	2661.024	2531.861	2108.759	3611.619
ENSMUSG00000032315.6	71	31	37.978	61	58	72.94
ENSMUSG00000032316.8	1134	1421.999	1875.964	1165.999	1712.724	1494.999
ENSMUSG00000032318.12	10	19	34.001	10	8	4
ENSMUSG00000032320.7	1555.001	1228.001	2608	1705	2488	2183.001
ENSMUSG00000032322.14	906	1211.001	1278	826.999	1372	874
ENSMUSG00000032323.13	3426.847	3433.746	3845.161	5077.616	7085.565	8606.85
ENSMUSG00000032324.11	1204.528	1138	1712	1518	1566.079	1970.985
ENSMUSG00000032327.14	2510	1115	1677	1745.001	2916	2312
ENSMUSG00000032328.12	3460.545	2075.009	4836.677	3573.631	5188.024	5878.026
ENSMUSG00000032329.4	652.001	469.001	797	616.001	957	1048
ENSMUSG00000032330.7	1110	2046	1972	1900	1726	1881
ENSMUSG00000032332.17	1281.999	288	797	1461	1657	2646
ENSMUSG00000032333.6	267	215.001	380.001	290	378	340.001
ENSMUSG00000032334.10	60	43	50	223	38	254
ENSMUSG00000032336.17	2088	1360.999	2898.001	2329	3393.001	3280
ENSMUSG00000032338.9	12	13	3	43	56	32
ENSMUSG00000032340.8	452.999	140	329.999	417.001	479	850
ENSMUSG00000032342.13	187.004	193.003	288.001	221.466	272.001	322.001
ENSMUSG00000032343.15	0	0	0	0	0	0
ENSMUSG00000032344.17	18.253	25.645	29.016	28.207	22.561	24.004
ENSMUSG00000032346.7	1	2.001	0	4.008	2.098	5.532
ENSMUSG00000032348.6	122	165	175	186	147	254
ENSMUSG00000032349.13	1360	976	1625	1485	2341	1616
ENSMUSG00000032350.9	471	386	619	584	805	955
ENSMUSG00000032352.16	1120	964.999	1426	1204	1574	1779
ENSMUSG00000032353.9	2952	3152	4582	3087	3662	3993
ENSMUSG00000032355.16	0	6	0	4.458	1.028	1
ENSMUSG00000032356.12	37.482	20.924	39.885	16.551	48.089	53.856
ENSMUSG00000032357.12	106	71	64	146	2	622
ENSMUSG00000032358.12	202	171	316	227	316	313
ENSMUSG00000032359.14	1150.001	1111.999	1180.001	1223	432	3193.001
ENSMUSG00000032360.16	5	3	0	5	4	7
ENSMUSG00000032363.15	41	12	58	36	92	63.999
ENSMUSG00000032366.15	6319	7662.999	10467	6858.999	12748	9075.999
ENSMUSG00000032368.14	10.6	3.001	10.104	7.005	14.795	15.085
ENSMUSG00000032369.13	477.999	528.001	591.831	780.999	304.636	1573.88
ENSMUSG00000032370.8	548	643	766	550	794	814
ENSMUSG00000032372.14	64	62.999	29	137	14	272
ENSMUSG00000032373.15	6	8	36	16	32	31
ENSMUSG00000032374.14	1619	954.001	2602.999	2296	3738	3604.001
ENSMUSG00000032375.15	341.53	213.656	451.3	257.82	473.842	446.339
ENSMUSG00000032376.12	490.197	594.094	625.086	604.616	565.012	1055.241
ENSMUSG00000032377.8	5	6	10	9	14	15
ENSMUSG00000032380.9	1361	1230	1653	1005	1493	1327
ENSMUSG00000032381.5	1034	1790	1740	1912.975	1556	2008
ENSMUSG00000032382.14	2841	3447	4235.001	3563	4306	5106
ENSMUSG00000032383.7	12794.665	13655.285	20240.486	12928.519	16503.012	16080.105
ENSMUSG00000032384.16	348	242.011	370.968	322.001	575.836	475
ENSMUSG00000032386.15	559.238	611.014	837.877	597.369	935.257	854.322
ENSMUSG00000032387.15	130.363	148.311	152.637	193.378	204.088	320.522
ENSMUSG00000032388.7	907	953	1346	1058	1446	1353
ENSMUSG00000032392.11	213	215	274	237	287	437
ENSMUSG00000032393.15	1134.993	906	1468.985	1157	1667.071	1606.999
ENSMUSG00000032394.6	68	27	29	172	217	212
ENSMUSG00000032396.17	402	393	554	375	513.242	616
ENSMUSG00000032397.7	396	491	550.154	522	668	502
ENSMUSG00000032398.7	221	288	355	247	340	368
ENSMUSG00000032399.8	15386.843	22674.522	29344.956	22099.654	26986.268	26036.85
ENSMUSG00000032400.18	138	118	159.999	250.999	270.001	253
ENSMUSG00000032401.15	0	0	0	2	1	1
ENSMUSG00000032402.12	1108	387	1011	611	859	1135
ENSMUSG00000032403.8	53	39.571	72.168	66.182	88.371	88.838
ENSMUSG00000032405.10	1063	908	1263	914	1448	1463.001
ENSMUSG00000032407.14	1102.179	1174.032	1535.988	1150.794	1766.061	1966.06
ENSMUSG00000032409.15	220	184.002	313.698	279	422	406.302
ENSMUSG00000032410.13	631.79	301.889	729.682	463.715	883.472	769.694
ENSMUSG00000032411.15	767.001	628.999	876.999	665	756.001	1032.076
ENSMUSG00000032412.8	2341.21	1938.799	3144.265	3060.643	4022.686	3857
ENSMUSG00000032413.12	768.001	616.128	1054.941	657.417	1317.285	1168.643
ENSMUSG00000032415.14	41	32	65	57	97	44
ENSMUSG00000032417.10	64	72	71	73	67	132
ENSMUSG00000032418.15	2048.683	2156.4	2869.278	2240.807	3581.684	3319.41
ENSMUSG00000032419.8	15.208	6.227	6.169	8.259	11.763	14.431
