abundance	gene
ENSMUSG00000001833.17	47.782596	ENSMUSG00000001833.17
ENSMUSG00000001844.10	11.615246	ENSMUSG00000001844.10
ENSMUSG00000001847.14	234.629754	ENSMUSG00000001847.14
ENSMUSG00000001855.15	24.104504	ENSMUSG00000001855.15
ENSMUSG00000001864.13	531.851144	ENSMUSG00000001864.13
ENSMUSG00000001865.2	0.264757	ENSMUSG00000001865.2
ENSMUSG00000001870.16	14.784926	ENSMUSG00000001870.16
ENSMUSG00000001891.16	124.906226	ENSMUSG00000001891.16
ENSMUSG00000001901.15	0.720313	ENSMUSG00000001901.15
ENSMUSG00000001909.16	40.828486	ENSMUSG00000001909.16
ENSMUSG00000001910.5	6.869422	ENSMUSG00000001910.5
ENSMUSG00000001911.16	5.887379	ENSMUSG00000001911.16
ENSMUSG00000001918.17	23.306268	ENSMUSG00000001918.17
ENSMUSG00000001924.15	61.421467	ENSMUSG00000001924.15
ENSMUSG00000001930.17	10.815995	ENSMUSG00000001930.17
ENSMUSG00000001942.8	12.282927	ENSMUSG00000001942.8
ENSMUSG00000001943.8	3.93849	ENSMUSG00000001943.8
ENSMUSG00000001946.14	674.377429	ENSMUSG00000001946.14
ENSMUSG00000001948.10	6.041445	ENSMUSG00000001948.10
ENSMUSG00000001962.8	27.698524	ENSMUSG00000001962.8
ENSMUSG00000001964.14	30.87698	ENSMUSG00000001964.14
ENSMUSG00000001983.7	4.42263	ENSMUSG00000001983.7
ENSMUSG00000001985.9	0.157448	ENSMUSG00000001985.9
ENSMUSG00000001986.16	0.027807	ENSMUSG00000001986.16
ENSMUSG00000001988.9	0.055081	ENSMUSG00000001988.9
ENSMUSG00000001995.9	9.550503	ENSMUSG00000001995.9
ENSMUSG00000001998.15	1.55852	ENSMUSG00000001998.15
ENSMUSG00000001999.15	19.661261	ENSMUSG00000001999.15
ENSMUSG00000002006.12	0.244102	ENSMUSG00000002006.12
ENSMUSG00000002007.5	0.026205	ENSMUSG00000002007.5
ENSMUSG00000002010.17	64.553326	ENSMUSG00000002010.17
ENSMUSG00000002012.13	0.657253	ENSMUSG00000002012.13
ENSMUSG00000002014.12	196.557867	ENSMUSG00000002014.12
ENSMUSG00000002015.5	187.958276	ENSMUSG00000002015.5
ENSMUSG00000002017.10	10.266286	ENSMUSG00000002017.10
ENSMUSG00000002020.15	1.725054	ENSMUSG00000002020.15
