abundance	gene
ENSMUSG00000000826.16	19.547886	ENSMUSG00000000826.16
ENSMUSG00000000827.18	45.375708	ENSMUSG00000000827.18
ENSMUSG00000000838.17	12.941938	ENSMUSG00000000838.17
ENSMUSG00000000861.15	0.142521	ENSMUSG00000000861.15
ENSMUSG00000000869.12	0	ENSMUSG00000000869.12
ENSMUSG00000000876.11	14.995051	ENSMUSG00000000876.11
ENSMUSG00000000881.12	33.843718	ENSMUSG00000000881.12
ENSMUSG00000000884.17	1.728264	ENSMUSG00000000884.17
ENSMUSG00000000889.8	0	ENSMUSG00000000889.8
ENSMUSG00000000901.17	41.289664	ENSMUSG00000000901.17
ENSMUSG00000000902.13	39.497723	ENSMUSG00000000902.13
ENSMUSG00000000903.3	0.554625	ENSMUSG00000000903.3
ENSMUSG00000000915.15	14.831185	ENSMUSG00000000915.15
ENSMUSG00000000916.15	4.244065	ENSMUSG00000000916.15
ENSMUSG00000000934.9	11.068953	ENSMUSG00000000934.9
ENSMUSG00000000938.11	17.430655	ENSMUSG00000000938.11
ENSMUSG00000000942.10	0.118759	ENSMUSG00000000942.10
ENSMUSG00000000948.16	5.135535	ENSMUSG00000000948.16
ENSMUSG00000000957.11	23.177085	ENSMUSG00000000957.11
ENSMUSG00000000958.10	21.055389	ENSMUSG00000000958.10
ENSMUSG00000000959.7	26.064239	ENSMUSG00000000959.7
ENSMUSG00000000976.13	3.003937	ENSMUSG00000000976.13
ENSMUSG00000000982.5	0.308956	ENSMUSG00000000982.5
ENSMUSG00000000983.13	0	ENSMUSG00000000983.13
ENSMUSG00000001014.6	1.58026	ENSMUSG00000001014.6
ENSMUSG00000001016.12	24.298123	ENSMUSG00000001016.12
ENSMUSG00000001017.15	37.222379	ENSMUSG00000001017.15
ENSMUSG00000001018.15	24.499404	ENSMUSG00000001018.15
ENSMUSG00000001020.8	6.928064	ENSMUSG00000001020.8
ENSMUSG00000001021.13	0.137996	ENSMUSG00000001021.13
ENSMUSG00000001023.10	2.95455	ENSMUSG00000001023.10
ENSMUSG00000001025.8	1569.908174	ENSMUSG00000001025.8
ENSMUSG00000001027.7	0.035222	ENSMUSG00000001027.7
ENSMUSG00000001029.15	5.821145	ENSMUSG00000001029.15
ENSMUSG00000001034.17	5.207723	ENSMUSG00000001034.17
ENSMUSG00000001036.17	6.169563	ENSMUSG00000001036.17
ENSMUSG00000001039.12	14.194058	ENSMUSG00000001039.12
ENSMUSG00000001052.15	46.430776	ENSMUSG00000001052.15
ENSMUSG00000001053.15	2.990439	ENSMUSG00000001053.15
ENSMUSG00000001054.9	15.823695	ENSMUSG00000001054.9
ENSMUSG00000001056.3	35.842603	ENSMUSG00000001056.3
ENSMUSG00000001062.18	6.136068	ENSMUSG00000001062.18
ENSMUSG00000001065.15	24.432317	ENSMUSG00000001065.15
ENSMUSG00000001076.7	0.130392	ENSMUSG00000001076.7
ENSMUSG00000001082.12	171.242465	ENSMUSG00000001082.12
ENSMUSG00000001089.14	8.705566	ENSMUSG00000001089.14
ENSMUSG00000001095.5	0.088616	ENSMUSG00000001095.5
ENSMUSG00000001098.15	72.56964	ENSMUSG00000001098.15
ENSMUSG00000001100.10	19.673369	ENSMUSG00000001100.10
ENSMUSG00000001103.7	0	ENSMUSG00000001103.7
ENSMUSG00000001105.15	79.961808	ENSMUSG00000001105.15
ENSMUSG00000001119.7	2.007517	ENSMUSG00000001119.7
ENSMUSG00000001120.15	3.567216	ENSMUSG00000001120.15
ENSMUSG00000001123.15	309.362209	ENSMUSG00000001123.15
ENSMUSG00000001127.12	24.123151	ENSMUSG00000001127.12
ENSMUSG00000001128.7	0.621877	ENSMUSG00000001128.7
ENSMUSG00000001131.11	6.290751	ENSMUSG00000001131.11
ENSMUSG00000001134.9	10.346601	ENSMUSG00000001134.9
ENSMUSG00000001138.13	4.767015	ENSMUSG00000001138.13
ENSMUSG00000001143.13	18.466134	ENSMUSG00000001143.13
ENSMUSG00000001150.7	17.971948	ENSMUSG00000001150.7
ENSMUSG00000001151.10	2.761918	ENSMUSG00000001151.10
ENSMUSG00000001155.13	2.089942	ENSMUSG00000001155.13
ENSMUSG00000001156.9	4.145925	ENSMUSG00000001156.9
ENSMUSG00000001157.13	7.388025	ENSMUSG00000001157.13
ENSMUSG00000001158.13	24.589683	ENSMUSG00000001158.13
ENSMUSG00000001166.17	5.611525	ENSMUSG00000001166.17
ENSMUSG00000001168.16	0.066356	ENSMUSG00000001168.16
ENSMUSG00000001173.15	3.053069	ENSMUSG00000001173.15
ENSMUSG00000001175.15	296.71075	ENSMUSG00000001175.15
ENSMUSG00000001211.15	34.924922	ENSMUSG00000001211.15
ENSMUSG00000001225.12	0.0841	ENSMUSG00000001225.12
ENSMUSG00000001227.12	0.628752	ENSMUSG00000001227.12
ENSMUSG00000001228.14	5.787649	ENSMUSG00000001228.14
ENSMUSG00000001229.9	5.738048	ENSMUSG00000001229.9
ENSMUSG00000001240.13	23.632763	ENSMUSG00000001240.13
ENSMUSG00000001247.16	13.698679	ENSMUSG00000001247.16
ENSMUSG00000001248.15	41.108732	ENSMUSG00000001248.15
ENSMUSG00000001249.14	45.667706	ENSMUSG00000001249.14
ENSMUSG00000001260.10	0	ENSMUSG00000001260.10
ENSMUSG00000001270.9	68.994063	ENSMUSG00000001270.9
ENSMUSG00000001280.13	16.007832	ENSMUSG00000001280.13
ENSMUSG00000001281.10	3.948037	ENSMUSG00000001281.10
ENSMUSG00000001285.12	21.600409	ENSMUSG00000001285.12
ENSMUSG00000001288.15	3.034628	ENSMUSG00000001288.15
ENSMUSG00000001289.12	316.847124	ENSMUSG00000001289.12
ENSMUSG00000001300.16	5.125151	ENSMUSG00000001300.16
ENSMUSG00000001305.5	7.428087	ENSMUSG00000001305.5
ENSMUSG00000001313.12	61.558342	ENSMUSG00000001313.12
ENSMUSG00000001323.17	19.919417	ENSMUSG00000001323.17
ENSMUSG00000001333.9	0.495296	ENSMUSG00000001333.9
ENSMUSG00000001334.9	4.828762	ENSMUSG00000001334.9
ENSMUSG00000001348.15	13.992264	ENSMUSG00000001348.15
ENSMUSG00000001349.5	0.029968	ENSMUSG00000001349.5
ENSMUSG00000001366.14	20.447892	ENSMUSG00000001366.14
ENSMUSG00000001376.17	9.758295	ENSMUSG00000001376.17
ENSMUSG00000001380.7	24.180637	ENSMUSG00000001380.7
ENSMUSG00000001383.9	46.913637	ENSMUSG00000001383.9
ENSMUSG00000001403.13	14.91051	ENSMUSG00000001403.13
ENSMUSG00000001415.10	16.458412	ENSMUSG00000001415.10
ENSMUSG00000001416.13	209.971272	ENSMUSG00000001416.13
ENSMUSG00000001418.13	424.820169	ENSMUSG00000001418.13
ENSMUSG00000001419.17	38.861111	ENSMUSG00000001419.17
ENSMUSG00000001420.13	5.650607	ENSMUSG00000001420.13
ENSMUSG00000001424.14	233.560605	ENSMUSG00000001424.14
ENSMUSG00000001435.15	14.293084	ENSMUSG00000001435.15
ENSMUSG00000001436.15	2.750954	ENSMUSG00000001436.15
ENSMUSG00000001440.5	42.812828	ENSMUSG00000001440.5
ENSMUSG00000001441.13	37.026135	ENSMUSG00000001441.13
ENSMUSG00000001444.2	0.028536	ENSMUSG00000001444.2
ENSMUSG00000001445.10	23.037381	ENSMUSG00000001445.10
ENSMUSG00000001467.5	11.634023	ENSMUSG00000001467.5
ENSMUSG00000001472.17	1738.930892	ENSMUSG00000001472.17
ENSMUSG00000001473.7	11.241039	ENSMUSG00000001473.7
ENSMUSG00000001482.15	11.078294	ENSMUSG00000001482.15
ENSMUSG00000001493.9	0.145283	ENSMUSG00000001493.9
ENSMUSG00000001494.6	0	ENSMUSG00000001494.6
ENSMUSG00000001496.15	0.109943	ENSMUSG00000001496.15
ENSMUSG00000001497.18	0.080203	ENSMUSG00000001497.18
ENSMUSG00000001504.10	3.838268	ENSMUSG00000001504.10
ENSMUSG00000001506.10	83.365051	ENSMUSG00000001506.10
ENSMUSG00000001507.16	23.951747	ENSMUSG00000001507.16
ENSMUSG00000001508.15	0.027096	ENSMUSG00000001508.15
ENSMUSG00000001510.8	11.028033	ENSMUSG00000001510.8
ENSMUSG00000001517.14	1.185569	ENSMUSG00000001517.14
ENSMUSG00000001518.12	17.375971	ENSMUSG00000001518.12
ENSMUSG00000001520.12	0.156671	ENSMUSG00000001520.12
ENSMUSG00000001521.12	1.867236	ENSMUSG00000001521.12
ENSMUSG00000001524.14	24.194747	ENSMUSG00000001524.14
ENSMUSG00000001525.10	96.812378	ENSMUSG00000001525.10
ENSMUSG00000001542.7	13.259249	ENSMUSG00000001542.7
